"PERIOD","Av. rent €","Av. rent YoY","Rent index","Rent €/sqm","€/sqm YoY","€/sqm index","No. contracts","Contracts YoY","Contracts index","Asking €/sqm","Asking YoY","Asking index"
"2012-Q1","732","","106","11.1","","108","9,537","","85","12.0","","107"
"2012-Q2","711","","103","10.9","","106","10,239","","92","11.7","","104"
"2012-Q3","720","","104","10.8","","105","10,291","","92","11.6","","103"
"2012-Q4","718","","104","10.6","","103","10,980","","98","11.4","","101"
"2013-Q1","687","-6.2","99","10.4","-6.3","102","10,737","12.6","96","11.1","-7.5","99"
"2013-Q2","677","-4.8","98","10.3","-5.5","101","11,125","8.7","100","10.9","-6.8","97"
"2013-Q3","681","-5.4","99","10.2","-5.6","100","11,088","7.7","99","10.9","-6.0","97"
"2013-Q4","682","-5.0","99","10.3","-2.8","101","11,869","8.1","106","10.9","-4.4","97"
"2014-Q1","675","-1.8","98","10.2","-1.9","100","10,862","1.2","97","10.9","-1.8","97"
"2014-Q2","668","-1.3","97","10.3","0.0","101","10,577","-4.9","95","11.0","0.9","98"
"2014-Q3","702","3.1","102","10.0","-2.0","98","11,071","-0.2","99","11.2","2.8","100"
"2014-Q4","706","3.5","102","10.2","-1.0","100","11,901","0.3","107","11.6","6.4","103"
"2015-Q1","702","4.0","102","10.3","1.0","101","9,817","-9.6","88","12.0","10.1","107"
"2015-Q2","714","6.9","103","11.0","6.8","107","9,637","-8.9","86","12.1","10.0","108"
"2015-Q3","765","9.0","111","11.5","15.0","112","9,810","-11.4","88","12.3","9.8","109"
"2015-Q4","755","6.9","109","11.5","12.8","112","11,359","-4.6","102","13.0","12.1","116"
"2016-Q1","755","7.6","109","11.6","12.6","113","10,014","2.0","90","13.7","14.2","122"
"2016-Q2","774","8.4","112","12.1","10.0","118","10,182","5.7","91","13.8","14.1","123"
"2016-Q3","826","8.0","120","12.4","7.8","121","10,789","10.0","97","14.2","15.5","126"
"2016-Q4","843","11.7","122","12.7","10.4","124","11,197","-1.4","100","15.4","18.5","137"
"2017-Q1","845","11.9","122","13.0","12.1","127","11,156","11.4","100","16.1","17.5","143"
"2017-Q2","865","11.8","125","13.1","8.3","128","12,084","18.7","108","16.0","15.9","142"
"2017-Q3","903","9.3","131","13.6","9.7","133","12,898","19.6","116","16.0","12.7","142"
"2017-Q4","890","5.6","129","13.6","7.1","133","13,815","23.4","124","16.3","5.8","145"
"2018-Q1","898","6.3","130","13.1","0.8","128","12,981","16.4","116","16.3","1.2","145"
"2018-Q2","916","5.9","133","13.3","1.5","130","13,672","13.1","123","16.3","1.9","145"
"2018-Q3","949","5.1","137","13.6","0.0","133","13,272","2.9","119","16.1","0.6","143"
"2018-Q4","954","7.2","138","13.7","0.7","134","13,599","-1.6","122","16.2","-0.6","144"
"2019-Q1","944","5.1","137","13.6","3.8","133","12,832","-1.2","115","16.2","-0.6","144"
"2019-Q2","969","5.8","140","13.9","4.5","136","12,467","-8.8","112","16.2","-0.6","144"
"2019-Q3","1,006","6.0","146","14.3","5.2","140","12,593","-5.1","113","16.2","0.6","144"
"2019-Q4","996","4.4","144","14.1","2.9","138","13,402","-1.5","120","16.2","0.0","144"
"2020-Q1","981","3.9","142","14.0","2.9","137","11,435","-10.9","103","16.4","1.2","146"
"2020-Q2","960","-0.9","139","14.0","0.7","137","5,727","-54.1","51","16.6","2.5","148"
"2020-Q3","979","-2.7","142","14.1","-1.4","138","11,055","-12.2","99","15.7","-3.1","140"
"2020-Q4","939","-5.7","136","13.5","-4.3","132","12,199","-9.0","109","15.0","-7.4","133"
"2021-Q1","905","-7.8","131","13.1","-6.4","128","14,399","25.9","129","14.3","-12.8","127"
"2021-Q2","903","-5.9","131","13.1","-6.4","128","14,110","146.4","127","14.2","-14.5","126"
"2021-Q3","932","-4.8","135","13.3","-5.7","130","14,398","30.2","129","14.3","-8.9","127"
"2021-Q4","934","-0.5","135","13.4","-0.7","131","14,251","16.8","128","14.6","-2.7","130"
"2022-Q1","965","6.6","140","13.9","6.1","136","12,227","-15.1","110","15.3","7.0","136"
"2022-Q2","997","10.4","144","14.1","7.6","138","11,443","-18.9","103","15.9","12.0","142"
"2022-Q3","1,067","14.5","155","14.9","12.0","146","11,967","-16.9","107","16.7","16.8","149"
"2022-Q4","1,078","15.4","156","15.2","13.4","149","12,290","-13.8","110","17.8","21.9","158"
"2023-Q1","1,087","12.6","158","15.7","13.0","153","10,890","-10.9","98","18.5","20.9","165"
"2023-Q2","1,124","12.7","163","15.9","12.8","155","10,238","-10.5","92","18.6","17.0","166"
"2023-Q3","1,171","9.8","170","16.2","8.7","158","8,934","-25.3","80","19.4","16.2","173"
"2023-Q4","1,178","9.3","171","16.7","9.9","163","8,531","-30.6","76","20.4","14.6","182"
"2024-Q1","1,193","9.8","173","16.7","6.4","163","9,826","-9.8","88","20.8","12.4","185"
"2024-Q2","1,132","0.7","164","16.0","0.6","156","7,939","-22.5","71","21.6","16.1","192"
